listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,4.5,0,1,600
Entire home/apt,5,1,1,1100
Private room,5,3,1.5,1600
Private room,5,1,1,500
Entire home/apt,5,2,1,1100
Entire home/apt,5,3,1.5,2500
Entire home/apt,4.5,1,1,1030
Entire home/apt,4.5,2,2.5,1690
Entire home/apt,5,1,1,700
Entire home/apt,5,0,1,650
Entire home/apt,5,1,1,1250
Entire home/apt,5,2,2,1030
Entire home/apt,4.5,1,1,1690
Entire home/apt,5,1,1,1790
Entire home/apt,5,2,1,1620
Entire home/apt,5,1,1,800
Entire home/apt,5,1,1,900
Private room,5,1,2,370
Entire home/apt,5,1,1,720
Entire home/apt,5,1,1,900
Private room,4.5,1,1,490
Private room,5,1,2,370
Private room,5,1,2,370
Entire home/apt,5,1,1,850
Private room,5,1,1.5,1200
Entire home/apt,5,1,1,990
Private room,5,1,1,780
Entire home/apt,4.5,1,1,1390
Entire home/apt,,1,1,2690
Private room,4.5,1,1.5,900
Private room,5,1,1,750
Entire home/apt,,0,1,1800
Entire home/apt,5,0,1,750
Entire home/apt,4.5,3,1.5,2250
Entire home/apt,5,1,1,870
Entire home/apt,4.5,1,1,890
Entire home/apt,5,2,1,2250
Entire home/apt,5,0,1,600
Entire home/apt,5,2,1,1200
Entire home/apt,4,1,1,880
Entire home/apt,5,1,1,1050
Private room,5,1,1,650
Private room,,1,1,750
Private room,5,1,1,1040
Entire home/apt,5,1,1,880
Entire home/apt,4.5,1,1,750
Entire home/apt,4.5,1,1,900
Entire home/apt,5,3,3,2200
Entire home/apt,5,1,1,950
Entire home/apt,5,2,2,1750
Private room,4.5,1,3,1050
Entire home/apt,5,2,1.5,1050
Entire home/apt,5,3,4,6000
Private room,5,1,1,480
Entire home/apt,5,1,1,600
Entire home/apt,5,2,1,1300
Entire home/apt,5,1,1,800
Entire home/apt,5,2,1,1300
Private room,5,1,1,550
Entire home/apt,5,3,2.5,1850
Entire home/apt,5,3,1,2300
Entire home/apt,5,2,2,1350
Entire home/apt,4.5,0,1,1260
Entire home/apt,5,1,1,1200
Private room,5,1,1,650
Private room,5,1,1.5,400
Entire home/apt,,2,2.5,4500
Entire home/apt,5,0,1,750
Entire home/apt,3.5,2,1,1450
Private room,5,1,1,630
Private room,5,1,1,420
Entire home/apt,5,0,1,900
Entire home/apt,5,2,2,1050
